question_id,quiz_id,question_title,question_description,question_type,question_mark,question_settings,question_order
30,7390,"syntax อะไรถูกต้อง สำหรับอ้างอิง external script ที่เรียก “geek.js”",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",26
31,7390,"JavaScript เป็นภาษา ________",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",27
32,7390,"จงเลือก syntax ที่ถูกต้องเพื่อแสดงข้อความ “GeeksforGeeks” ใน alert box โดยใช้ JavaScript",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",28
33,7390,"ให้ทายผลลัพธ์จากcode JavaScript",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",29
34,7390,"ข้อใดไม่ใช่คำสงวนใน JavaScript",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",30
35,7390,"Method ใน JavaScript ที่ใช้ลบเว้นวรรคที่ข้างหน้าหรือข้างหลัง string",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",31
36,7390,"ให้ทาย output ของ console code JavaScript ต่อไปนี้",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",32
37,7390,"ไวยากรณ์ที่ถูกต้องเพื่อสร้าง function ใน JavaScript ชื่อ Geekfunc",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",33
38,7390,ฟังก์ชันนี้ทำงานอย่างไร,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",34
39,7390,"Startup คืออะไร",,multiple_choice,1.00,"a:3:{s:13:"question_type";s:15:"multiple_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",35
40,7390,อะไรที่จะทำให้บริษัทอยู่รอดต่อไปได้,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",36
41,7390,"Question 41",,true_false,1.00,a:0:{},37
42,7390,"ข้อใค คือวิธีการทำงานแบบเก่า",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",38
43,7390,ทำไมต้องมีสมมุติฐานทางธุรกิจ,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",39
44,7390,ระดับปัญหาของลูกค้าที่รุนแรงที่สุด,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",40
45,7390,"จุดประสงค์หลักที่เราไปคุย(Interviews) กับลูกค้าคืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",41
46,7390,"LANDING PAGE ที่ดีควรเป็นอย่างไร ?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",42
47,7390,"https://instapage.com/ ใช้ทำอะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",43
48,7474,"1. HTML tag ไหนที่ทำให้ตัวอักษรใหญ่ที่สุด",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
49,7474,"2. HTML tag ไหนที่สำหรับขึ้นบรรทัดใหม่",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
50,7474,"3. การตั้งค่าสีของพื้นหลังที่ถูกต้องของ HTML tag คือข้อใด",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
51,7474,"4. ถ้าต้องการจะสร้าง Hyperlink ควรเขียน HTML tag แบบไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
52,7474,"5. ถ้าต้องการจะสร้าง Hyperlink แบบเมื่อกดแล้วขึ้นหน้าต่างใหม่หรือแทปใหม่ ควรเขียน HTML tag แบบไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",5
53,7474,"6. HTML tag ไหนที่ทำให้ได้ List รายการแบบมีตัวเลข",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",6
54,7474,"7. ถ้าต้องการอ้างอิงถึง external style sheet ควรใส่ไว้ตรงไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",7
55,7474,"8. tag ไหนไว้สำหรับใส่ Internal style sheet",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",8
56,7474,"9. HTML attribute ไหนสำหรับกำหนด inline styles",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",9
57,7474,"10. ถ้าอยากเพิ่ม background-color ให้กับ tag ทุก tags ใน Code ควรทำอย่างไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",10
58,7474,"11. ใน HTML element ที่เราจะใส่ Code Java Script ลงไป",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",11
59,7474,"12. syntax ที่ถูกต้องสำหรับการเปลี่ยนค่าใน HTML element นี้ &lt;p id=&quot;demo&quot;&gt;This is a demonstration.&lt;/p&gt;",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",12
60,7474,"13. ถ้าต้องการเขียนคำว่า Hello World ใน Alert box ต้องเขียนอย่างไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",13
61,7474,"14. การประกาศอาเรย์ที่ถูกต้องคือข้อไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",14
62,7474,"15. ข้อใดถูกต้องบ้าง (ถูกได้ตั้งแต่ 1 ถึง 6 ข้อ - ต้องถูกทุกข้อนะครับถึงจะได้คะแนน)",,multiple_choice,1.00,"a:3:{s:13:"question_type";s:15:"multiple_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",15
63,7474,"16. event อันไหนที่เกิดขึ้นเมื่อผู้ใช้คลิกเมาส์",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",16
64,7474,"17. สัญลักษณ์ไหนที่ถูกใช้แบบย่อใน jQuery",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",17
65,7474,"18. ถ้าต้องการเขียนโค๊ด jQuery ให้ div element ทั้งหมดเปลี่ยนความสูงเป็น 100 pixels ควรเขียนอย่างไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",18
66,7483,"1. Startup คืออะไร",,multiple_choice,1.00,"a:3:{s:13:"question_type";s:15:"multiple_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
67,7483,"2.การเติบโตของStartup เน้นการเติบโตแบบไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
68,7483,"3.เงินทุนหลักของStartup มาจากไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
69,7483,"4.Keyword หลักของ Startup คือ?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
70,7483,"ถ้าอยากทำร้านข้าวมันไก่ให้เป็นStartup จะทำอย่างไร",,open_ended,1.00,"a:3:{s:13:"question_type";s:10:"open_ended";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",5
71,7486,"6.บริษัทยุคใหม่ เกิดจากอะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
72,7486,7.อะไรทำให้เราเข้าถึงลูกค้าได้ง่ายขึ้น,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
73,7486,8.อะไรที่จะทำให้บริษัทอยู่รอดต่อไปได้,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
74,7486,"9.คิดว่า Netflix ชนะ BlockBuster ได้อย่างไร?",,open_ended,1.00,"a:3:{s:13:"question_type";s:10:"open_ended";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
75,7489,"10.ทำไม Startup ต้องรีบหาลูกค้ากลุ่มแรกๆให้เจอ",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
76,7489,"11.Starup ไม่ประสบความสำเร็จเพราะอะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
77,7489,"12.ข้อใค คือวิธีการทำงานแบบเก่า",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
78,7489,"13.ทำไมการทำงานแบบเก่า (Waterfall) ไม่เหมาะกับ Startup",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
79,7489,"14.ทำไม Startup ไม่ควรเริ่มจากทำเขียนแผนธุรกิจ",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",5
80,7489,"14.ทำไม Startup ไม่ควรเริ่มจากทำเขียนแผนธุรกิจ",,open_ended,1.00,"a:3:{s:13:"question_type";s:10:"open_ended";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",6
81,7493,"15.LEAN STARTUP PROCESS มีอะไรบ้าง?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
82,7493,16.ทำไมต้องมีสมมุติฐานทางธุรกิจ,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
83,7493,"17.ข้อใดคือหลักการของ Lean Startup",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
84,7493,"18.VALIDATE LEARNING ทำเพื่ออะไร",,open_ended,1.00,"a:3:{s:13:"question_type";s:10:"open_ended";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
85,7496,"19.Customer job คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
86,7496,20.ปัญหาแบบไหนที่ควรแก้ที่สุด,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
87,7496,21.ระดับปัญหาของลูกค้าที่รุนแรงที่สุด,,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
88,7496,"22.ทำไมเราไม่ควรเริ่มต้นจาก วิธีการแก้ปัญหา(Solution)",,open_ended,1.00,"a:3:{s:13:"question_type";s:10:"open_ended";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
89,7499,"23.เมื่อเรามีไอเดียแล้ว สิ่งแรกที่ต้องทำเรียกว่าอะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
90,7499,"24.จุดประสงค์หลักที่เราไปคุย(Interviews) กับลูกค้าคืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
91,7499,"25.สิ่งที่สำคัญในออกตลาดเพื่อสัมภาษณ์ลูกค้า สิ่งที่ต้องระวังที่สุดคืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
92,7499,"26.จุดประสงค์ของการลงไปทดสอบตลาด คืออะไร?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
93,7502,"27.เมื่อ Customer - Problem Fit เราจะทดลองตลาดด้วยการสร้าง MVP ที่ย่อมาจาก?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
94,7502,"28.ทำไมต้องทำ Solution Test?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
95,7502,"29.LANDING PAGE ที่ดีควรเป็นอย่างไร ?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
96,7505,"30.\"Concierge\" ในการทดสอบตลาด หมายถึงอะไร ?",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
97,7505,"31.DoppleGangers MVP ใช้ในสถานการณ์ไหน",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
98,7505,"32.https://instapage.com/ ใช้ทำอะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
101,7562,"1. JavaScript คือ ______ Side scripting language",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",1
102,7562,"2. จงเลือกว่าอันไหนเป็น server-side Java Script object",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",2
103,7562,"3. HTML tag อันไหนที่ใช้เขียน JavaScript code",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",3
104,7562,"4. syntax อะไรถูกต้อง สำหรับอ้างอิง external script ที่เรียก “geek.js”",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",4
105,7562,"5. JavaScript เป็นภาษา ________.",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",5
106,7566,"1. จงเลือก syntax ที่ถูกต้องเพื่อแสดงข้อความ “GeeksforGeeks” ใน alert box โดยใช้ JavaScript",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",1
107,7566,"2. จงเลือกคำสั่งที่ใช้จับทุกคลิ๊ก events ใน window",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",2
108,7566,"3.ให้ทายผลลัพธ์จาก code JavaScript จากลิงค์รูปนี้ https://uppic.cc/d/5NZf",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",3
110,7571,"1. ข้อใดไม่ใช่คำสงวนใน JavaScript",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",1
111,7571,"จงทายผลลัพธ์จากโค๊ดภาษา JavaScript ต่อไปนี้ :",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",2
112,7572,"1. ข้อใดไม่ใช่คำสงวนใน JavaScript",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",1
113,7572,"2.จงทายผลลัพธ์จากโค๊ดภาษา JavaScript ต่อไปนี้ https://uppic.cc/d/5NZi",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",2
114,7572,"3.จงทายผลลัพธ์จากโค๊ดภาษา JavaScript ต่อไปนี้ https://uppic.cc/d/5NZF",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",3
115,7572,"4. Method ใน JavaScript ที่ใช้ลบเว้นวรรคที่ข้างหน้าหรือข้างหลัง string",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",4
116,7572,"5.ให้ทาย output ของ console code JavaScript ต่อไปนี้ https://uppic.cc/d/5NZH",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",5
117,7581,"1. ไวยากรณ์ที่ถูกต้องเพื่อสร้าง function ใน JavaScript ชื่อ Geekfunc",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",1
118,7581,"2. จะเรียกใช้ ใน JavaScript อย่างไร",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",2
119,7581,"3. ฟังก์ชันนี้ทำงานอย่างไร https://uppic.cc/d/5NZo",,single_choice,1.00,"a:4:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";s:18:"show_question_mark";s:1:"1";}",3
120,7581,"ฟังก์ชันนี้ทำงานอย่างไร https://uppic.cc/d/5NZ2",,single_choice,1.00,"a:2:{s:13:"question_type";s:13:"single_choice";s:13:"question_mark";s:4:"1.00";}",4
121,8010,"1. ข้อใดคือความหมายที่ถูกต้องของวิทยาการคอมพิวเตอร์",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",1
122,8010,"2. คอมพิวเตอร์คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",2
123,8010,"3. ข้อมูล คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",3
124,8010,"4. ข้อมูลสารสนเทศ คืออะไร",,single_choice,1.00,"a:3:{s:13:"question_type";s:13:"single_choice";s:15:"answer_required";s:1:"1";s:13:"question_mark";s:4:"1.00";}",4
