attempt_id,course_id,quiz_id,user_id,total_questions,total_answered_questions,total_marks,earned_marks,attempt_info,attempt_status,attempt_ip,attempt_started_at,attempt_ended_at,is_manually_reviewed,manually_reviewed_at
11,6190,7483,1,5,5,5.00,2.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 17:03:47","2019-12-03 17:04:15",NULL,NULL
12,6190,7486,1,4,4,4.00,3.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 17:04:47","2019-12-03 17:05:11",NULL,NULL
13,6190,7489,1,6,6,6.00,2.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.112.119,"2019-12-03 17:05:28","2019-12-03 17:06:01",NULL,NULL
14,6190,7572,1,4,0,NULL,NULL,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_started,118.173.130.185,"2019-12-04 12:23:26",NULL,NULL,NULL
15,6190,7562,220,5,0,NULL,NULL,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_started,103.19.106.161,"2019-12-10 08:34:41",NULL,NULL,NULL
16,9485,9513,485,2,2,2.00,0.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:60;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,171.97.81.116,"2020-04-23 10:14:28","2020-04-23 10:14:48",NULL,NULL
17,9485,9503,485,1,1,1.00,1.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,171.97.81.116,"2020-04-23 10:15:26","2020-04-23 10:15:28",NULL,NULL
18,9485,9494,485,2,1,2.00,1.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,171.97.81.116,"2020-04-23 10:15:32","2020-04-23 10:15:35",NULL,NULL
19,9485,9494,485,2,0,NULL,NULL,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_started,171.97.81.116,"2020-04-23 10:15:37",NULL,NULL,NULL
20,9515,9518,285,5,1,5.00,0.00,"a:10:{s:10:"time_limit";a:3:{s:10:"time_value";s:2:"25";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:1500;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"50";s:24:"max_questions_for_answer";s:2:"10";s:15:"quiz_auto_start";s:1:"1";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"hide_question_number_overview";s:1:"1";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,171.6.143.234,"2020-04-23 15:11:55","2020-04-27 07:30:55",NULL,NULL
21,7313,9561,338,5,5,5.00,4.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,49.49.240.149,"2020-04-27 01:43:17","2020-04-27 01:44:31",NULL,NULL
22,7313,9561,338,5,5,5.00,4.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,49.49.240.149,"2020-04-27 01:44:52","2020-04-27 01:45:15",NULL,NULL
23,7313,9561,338,5,5,5.00,5.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,49.49.240.149,"2020-04-27 01:52:35","2020-04-27 01:53:28",NULL,NULL
24,7313,9561,306,5,0,NULL,NULL,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_started,58.11.3.60,"2020-04-27 04:08:06",NULL,NULL,NULL
25,9515,9518,308,5,0,NULL,NULL,"a:9:{s:10:"time_limit";a:3:{s:10:"time_value";s:2:"25";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:1500;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"50";s:24:"max_questions_for_answer";s:2:"10";s:15:"quiz_auto_start";s:1:"1";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_started,49.49.235.74,"2020-04-27 08:07:22",NULL,NULL,NULL
26,7313,9561,316,5,5,5.00,5.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,49.49.250.129,"2020-04-27 14:10:11","2020-05-12 06:13:32",NULL,NULL
27,9515,9518,488,6,6,6.00,3.00,"a:9:{s:10:"time_limit";a:3:{s:10:"time_value";s:2:"25";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:1500;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"50";s:24:"max_questions_for_answer";s:2:"10";s:15:"quiz_auto_start";s:1:"1";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,171.7.85.228,"2020-04-27 17:01:26","2020-04-27 17:45:09",NULL,NULL
28,9515,9565,488,0,0,NULL,NULL,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_started,171.7.85.228,"2020-04-27 17:03:05",NULL,NULL,NULL
29,9485,9503,19,2,0,NULL,NULL,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"0";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:0;}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_started,223.24.147.13,"2020-04-28 08:07:12",NULL,NULL,NULL
30,9485,9487,485,2,1,2.00,0.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,61.90.2.18,"2020-04-28 09:25:56","2020-04-29 09:25:40",NULL,NULL
31,7313,9561,485,10,10,10.00,2.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:60;}s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:2:"10";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,61.90.2.18,"2020-04-28 09:39:50","2020-04-28 09:41:31",NULL,NULL
32,7313,9561,485,19,18,19.00,6.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:60;}s:16:"attempts_allowed";s:1:"2";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:5:"40000";s:20:"question_layout_view";s:25:"question_below_each_other";s:15:"questions_order";s:7:"sorting";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,61.90.2.18,"2020-04-28 09:41:49","2020-04-28 09:42:17",NULL,NULL
33,7313,9561,485,19,1,19.00,0.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"seconds";s:18:"time_limit_seconds";s:1:"1";}s:16:"attempts_allowed";s:1:"4";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:5:"40000";s:20:"question_layout_view";s:25:"question_below_each_other";s:15:"questions_order";s:7:"sorting";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,61.90.2.18,"2020-04-28 09:46:07","2020-04-28 09:46:11",NULL,NULL
34,7313,9561,485,19,1,19.00,0.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"seconds";s:18:"time_limit_seconds";s:1:"1";}s:16:"attempts_allowed";s:1:"4";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:5:"40000";s:20:"question_layout_view";s:15:"single_question";s:15:"questions_order";s:7:"sorting";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,61.90.2.18,"2020-04-28 09:47:00","2020-04-28 09:47:10",NULL,NULL
35,7313,9561,485,19,2,19.00,1.00,"a:7:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"1";s:9:"time_type";s:7:"seconds";s:18:"time_limit_seconds";s:1:"1";}s:16:"attempts_allowed";s:2:"10";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:5:"40000";s:20:"question_layout_view";s:15:"single_question";s:15:"questions_order";s:7:"sorting";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,61.90.2.18,"2020-04-28 09:47:39","2020-04-28 09:47:42",NULL,NULL
36,9485,9487,529,2,1,2.00,0.00,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_ended,110.169.10.45,"2020-04-28 13:48:40","2020-04-28 13:48:45",NULL,NULL
37,9485,9487,485,2,0,NULL,NULL,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_started,171.97.202.67,"2020-04-29 09:27:31",NULL,NULL,NULL
38,9485,9487,265,2,0,NULL,NULL,"a:2:{i:0;s:0:"";s:10:"time_limit";a:1:{s:18:"time_limit_seconds";i:0;}}",attempt_started,119.42.115.7,"2020-04-30 07:00:20",NULL,NULL,NULL
39,9770,9774,1,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,49.49.243.98,"2020-05-03 21:27:04","2020-05-03 21:27:25",NULL,NULL
40,9770,9774,582,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,115.87.238.9,"2020-05-04 03:30:32","2020-05-04 03:32:16",NULL,NULL
41,9770,9774,579,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,124.122.220.128,"2020-05-04 03:30:38","2020-05-04 04:00:45",NULL,NULL
42,9770,9774,594,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,125.25.134.129,"2020-05-04 03:31:14","2020-05-04 04:04:20",NULL,NULL
43,9770,9774,583,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,182.232.181.16,"2020-05-04 03:31:43","2020-05-04 04:01:06",NULL,NULL
44,9770,9774,581,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,110.168.243.41,"2020-05-04 03:32:13","2020-05-04 04:00:31",NULL,NULL
45,9770,9774,589,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,124.120.122.182,"2020-05-04 03:32:43","2020-05-04 04:00:05",NULL,NULL
46,9770,9774,559,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,115.87.10.171,"2020-05-04 03:32:46","2020-05-04 04:00:24",NULL,NULL
47,9770,9774,534,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,124.120.122.182,"2020-05-04 03:32:50","2020-05-04 04:00:24",NULL,NULL
48,9770,9774,488,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,49.49.243.98,"2020-05-04 03:32:52","2020-05-04 03:58:10",NULL,NULL
49,9770,9774,560,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,124.120.122.182,"2020-05-04 03:32:59","2020-05-04 03:59:55",NULL,NULL
50,9770,9774,393,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,110.171.113.47,"2020-05-04 03:33:07","2020-05-04 04:00:38",NULL,NULL
51,9770,9774,590,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,58.8.148.228,"2020-05-04 03:33:08","2020-05-04 04:00:53",NULL,NULL
52,9770,9774,567,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,184.22.229.64,"2020-05-04 03:33:08","2020-05-04 04:00:51",NULL,NULL
53,9770,9774,573,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,58.8.249.69,"2020-05-04 03:33:09","2020-05-04 04:00:32",NULL,NULL
54,9770,9774,561,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,182.53.138.100,"2020-05-04 03:33:23","2020-05-04 04:00:14",NULL,NULL
55,9770,9774,572,-22,0,NULL,0.00,"a:8:{s:10:"time_limit";a:3:{s:10:"time_value";s:1:"6";s:9:"time_type";s:7:"minutes";s:18:"time_limit_seconds";i:360;}s:22:"hide_quiz_time_display";s:1:"1";s:16:"attempts_allowed";s:1:"1";s:13:"passing_grade";s:2:"80";s:24:"max_questions_for_answer";s:3:"-22";s:20:"question_layout_view";s:0:"";s:15:"questions_order";s:4:"rand";s:29:"short_answer_characters_limit";s:3:"200";}",attempt_ended,124.122.63.54,"2020-05-04 03:33:28","2020-05-04 04:00:16",NULL,NULL
